大人,Adult
一人,Alone
アメリカ人,American
人工,Artificial
大きい,Big
大した,Considerable
入り口,Entrance
フランス人,Frenchman
下さい,Please
人口,Population
大きさ,Size
四月,April
白人,Caucasian
丸い,Circular
正しい,Correct
夕べ,Evening
出口,Exit
目玉,Eyeball
二月,February
五十,Fifty,50
四十,Forty,40
天才,Genius
女子,Girl
一月,January
日本,Japan
六月,June
ビー玉,Marble
五月,May
十月,October
玉ねぎ,Onion
人々,People
王子,Prince
王女,Princess
子犬,Puppy
女王,Queen
円い,Round
十六,Sixteen
小さい,Small
水中,Underwater
下手,Unskillful
中々,Very
大いに,Very
火山,Volcano
戸口,Doorway
外れ,Extremity
太い,Fat
お父さん,Father
外人,Foreigner
友人,Friend
半分,Half
今日は,Hello
大切,Important
お母さん,Mother
市立,Municipal
大人しい,Obedient
古い,Old
シアトル市,Seattle
中止,Suspension
今日,Today
広い,Wide
大気,Atmosphere
赤ちゃん,Baby
子牛,Calf
平気,Calm
中央,Center
早い,Early
元気,Energy
気分,Feeling
花火,Fireworks
平ら,Flat
休日,Holiday
不正,Injustice
一代,Lifetime
主に,Mainly
名人,Master
仕方,Method
百万,Million
休止,Pause
人気,Popular
赤い,Red
休み,Rest
本気,Serious
不足,Shortage
一打,Strike
代用,Substitution
名字,Surname
先生,Teacher
お礼,Thanks
引き分け,Tie
村人,Villager
天気,Weather
平日,Weekdays
白い,White
仕草,Action
作用,Action
古来,Ancient
空気,Atmosphere
牛肉,Beef
生まれ,Birthplace
青い,Blue
男の子,Boy
毛虫,Caterpillar
近い,Close
会社,Company
作文,Composition
工作,Construction
大会,Convention
外交,Diplomacy
下町,Downtown
工学,Engineering
〜形,Form
大体,General
本社,Headquarters
里心,Homesick
外来,Imported
自立,Independence
体内,Internal
皮肉,Irony
文学,Literature
男の人,Man
多い,Many
多分,Maybe
お金,Money
月光,Moonlight
北西,Northwest
自分,Oneself
本当,Reality
同じ,Same
売り手,Seller
兄弟,Siblings
近日,Soon
四角,Square
学生,Student
日光,Sunlight
金玉,Testicles
考え,Thought
何千,Thousands
