大人,Adult
一人,Alon
アメリカ人,American
人工,Artifici
大きい,Big
大した,Consider
入り口,Entranc
フランス人,Frenchman
下さい,Pleas
人口,Popul
大きさ,Size
四月,April
白人,Caucasian
丸い,Circular
正しい,Correct
夕べ,Even
出口,Exit
目玉,Eyebal
二月,Februari
五十,Fifti,50
四十,Forti,40
天才,Geniu
女子,Girl
一月,Januari
日本,Japan
六月,June
ビー玉,Marbl
五月,May
十月,Octob
玉ねぎ,Onion
人々,Peopl
王子,Princ
王女,Princess
子犬,Puppi
女王,Queen
円い,Round
十六,Sixteen
小さい,Small
水中,Underwat
下手,Unskil
中々,Veri
大いに,Veri
火山,Volcano
戸口,Doorway
外れ,Extrem
太い,Fat
お父さん,Father
外人,Foreign
友人,Friend
半分,Half
今日は,Hello
大切,Import
お母さん,Mother
市立,Municip
大人しい,Obedi
古い,Old
シアトル市,Seattl
中止,Suspens
今日,Today
広い,Wide
大気,Atmospher
赤ちゃん,Babi
子牛,Calf
平気,Calm
中央,Center
早い,Earli
元気,Energi
気分,Feel
花火,Firework
平ら,Flat
休日,Holiday
不正,Injustic
一代,Lifetim
主に,Mainli
名人,Master
仕方,Method
百万,Million
休止,Paus
人気,Popular
赤い,Red
休み,Rest
本気,Seriou
不足,Shortag
一打,Strike
代用,Substitut
名字,Surnam
先生,Teacher
お礼,Thank
引き分け,Tie
村人,Villag
天気,Weather
平日,Weekday
白い,White
仕草,Action
作用,Action
古来,Ancient
空気,Atmospher
牛肉,Beef
生まれ,Birthplac
青い,Blue
男の子,Boy
毛虫,Caterpillar
近い,Close
会社,Compani
作文,Composit
工作,Construct
大会,Convent
外交,Diplomaci
下町,Downtown
工学,Engin
〜形,Form
大体,Gener
本社,Headquart
里心,Homesick
外来,Import
自立,Independ
体内,Intern
皮肉,Ironi
文学,Literatur
男の人,Man
多い,Mani
多分,Mayb
お金,Money
月光,Moonlight
北西,Northwest
自分,Oneself
本当,Realiti
同じ,Same
売り手,Seller
兄弟,Sibl
近日,Soon
四角,Squar
学生,Student
日光,Sunlight
金玉,Testicl
考え,Thought
何千,Thousand
〜回,Time
走行,Travel
三角,Triangl
大学,Univers
色々,Variou
青年,Youth
後で,After
全て,All
米国,America
午前,AM
足首,Ankl
年次,Annual
後ろ,Behind
出血,Bleed
両方,Both
明るい,Bright
茶色,Brown
安い,Cheap
中国,China
活用,Conjug
文化,Cultur
方言,Dialect
方向,Direct
早く,Earli
東方,Eastward
活気,Energi
有名,Famou
手作り,Handmad
正直,Honest
本州,Honshuu
国王,King
九州,Kyuushuu
土地,Land
生活,Life
長い,Long
地図,Map
草地,Meadow
水星,Mercuri
死亡,Mortal
全国,Nationwid
海王星,Neptun
直行,Nonstop
東北,Northeast
年上,Older
海外,Oversea
平安,Peac
午後,PM
安心,Relief
〜室,Room
安全,Safeti
土星,Saturn
科学,Scienc
四国,Shikoku
姉妹,Sister
世の中,Societi
南東,Southeast
代わり,Substitut
お茶,Tea
東京,Tokyo
今夜,Tonight
地下,Underground
地中,Underground
不安,Uneasi
不明,Unknown
金星,Venu
羊毛,Wool
年下,Younger
先回り,Anticip
考古学,Archeolog
辺り,Area
作家,Author
風船,Balloon
黒い,Black
教室,Classroom
日記,Diari
人形,Doll,figurin
必死,Frantic
自由,Freedom
未来,Futur
地理,Geographi
金魚,Goldfish
大空,Heaven
船体,Hull
手紙,Letter
近く,Near
時代,Period
以前,Previous
心理学,Psycholog
本当に,Realli
理由,Reason
失礼,Rude
学校,School
欠点,Shortcom
社会,Societi
強力,Strength
強い,Strong
必ず,Sure
白鳥,Swan
高い,Tall
町民,Townspeopl
交通,Traffic
三角形,Triangl
台風,Typhoon,hurrican
不人気,Unpopular
弱い,Weak
週末,Weekend
